Pregunta,Respuesta
"Olvidé mi contraseña, ¿cómo la recupero?","En la sección de ""Iniciar Sesión"", encontrarás un enlace de ""¿Olvidaste tu contraseña?"". Sigue las instrucciones y te enviaremos un correo para que puedas restablecerla de forma segura."
"¿Cómo puedo actualizar mis datos personales?","Inicia sesión en tu cuenta, ve a la sección ""Mi Perfil"" o ""Mis Datos"" y allí podrás modificar tu dirección, número de teléfono y otros datos personales."
"¿Cómo puedo ver mi historial de compras?","Ingresa a tu cuenta y busca la sección ""Mis Pedidos"" o ""Historial de Compras"". Allí encontrarás un registro detallado de todas las compras que has realizado con nosotros."
"¿Cómo puedo eliminar mi cuenta de NovaMarket?","Para eliminar tu cuenta, por favor contacta a nuestro equipo de soporte a través de Novi, seleccionando la opción de ayuda con tu cuenta."
"¿Puedo tener varias direcciones de envío guardadas?","Sí, en la sección de ""Mis Direcciones"" dentro de tu perfil, puedes agregar, editar y eliminar múltiples direcciones de envío para facilitar tus compras futuras."
"¿Cómo gestiono mis suscripciones a boletines y notificaciones?","Dentro de tu perfil, busca la sección ""Preferencias de Comunicación"" o ""Notificaciones"". Allí podrás elegir qué tipo de correos y alertas deseas recibir."
"¿Por qué se bloqueó mi cuenta?","Una cuenta puede ser bloqueada por motivos de seguridad, como varios intentos fallidos de inicio de sesión. Contacta a Novi para que te ayude a verificar tu identidad y recuperarla."
"¿Mis datos están seguros en NovaMarket?","Absolutamente. Protegemos tu información con altos estándares de seguridad y cumplimos con la normativa de protección de datos."
"PROCESO DE COMPRA"
"¿Cómo compro un producto en la página web?","Busca el producto que deseas, agrégalo al carrito de compras, elige el método de entrega, selecciona tu medio de pago y confirma tu orden. Es un proceso fácil e intuitivo."
"¿Cómo puedo buscar un producto específico?","Utiliza la barra de búsqueda en la parte superior de nuestra página o navega por las diferentes categorías de productos en el menú."
"¿Cómo sé si un producto está disponible?","La disponibilidad del producto se indica en la página de detalles del mismo. Si un producto está agotado, puedes activar una notificación para que te avisemos cuando vuelva a estar disponible."
"¿Puedo comprar desde la App de NovaMarket?","Sí, nuestra App NovaMarket te ofrece la misma experiencia de compra que la página web, con acceso a todos nuestros productos y a nuestro agente virtual Novi."
"¿Cómo aplico un cupón de descuento?","Durante el proceso de pago, verás un campo para ingresar tu código de cupón. Escríbelo ahí y el descuento se aplicará automáticamente al total de tu compra."
"¿Puedo modificar o cancelar mi pedido una vez realizado?","Si necesitas modificar o cancelar tu pedido, contacta a Novi lo antes posible. La posibilidad de hacerlo dependerá del estado en que se encuentre el envío."
"¿Cómo puedo comprar un producto para regalar a otra persona?","Simplemente, durante el proceso de compra, ingresa la dirección de la persona a la que quieres enviar el regalo en la información de envío."
"¿Qué hago si tengo un problema al momento de pagar?","Si experimentas algún error durante el pago, primero verifica los datos de tu medio de pago. Si el problema persiste, contacta a Novi para recibir asistencia inmediata."
"¿Los precios en la tienda online son los mismos que en las tiendas físicas?","Los precios y promociones pueden variar entre nuestra tienda online y las tiendas físicas. Te recomendamos verificar el precio en el canal de compra de tu preferencia."
"¿Puedo guardar productos en una lista de deseos?","Sí, si tienes una cuenta registrada, puedes guardar los productos que te interesan en tu ""Lista de Deseos"" para comprarlos más tarde."
"MÉTODOS DE PAGO"
"¿Qué métodos de pago aceptan?","Aceptamos una amplia variedad de métodos de pago, incluyendo tarjetas de crédito (Visa, MasterCard, Amex), tarjetas débito (PSE), pago en efectivo en puntos autorizados y nuestro crédito NovaPay."
"¿Es seguro usar mi tarjeta de crédito en su sitio web?","Sí, todas las transacciones son procesadas a través de plataformas seguras que encriptan tu información para proteger tu compra."
"¿Puedo pagar contra entrega?","Actualmente, la opción de pago contra entrega está disponible solo en algunas ciudades y para ciertas categorías de productos. Podrás ver si tu pedido califica para esta opción durante el proceso de pago."
"¿Recibo una factura por mi compra?","Sí, recibirás una factura electrónica en el correo electrónico que registraste al momento de la compra."
"¿Qué hago si se me realizó un cobro doble?","Si detectas un cobro duplicado, contacta inmediatamente a Novi con los detalles de la transacción. Novi iniciará el proceso de PQR para verificar el error y gestionar el reembolso lo antes posible."
"¿Puedo pagar con dos tarjetas diferentes en un mismo pedido?","Por el momento, solo es posible utilizar un método de pago por transacción en nuestra plataforma online."
"¿Qué es el código CVV y por qué me lo piden?","El CVV o Código de Verificación de la Tarjeta es un número de 3 o 4 dígitos ubicado en el reverso de tu tarjeta. Se solicita como una medida de seguridad para confirmar que tienes la tarjeta en tu poder."
"Mi pago fue rechazado, ¿cuál puede ser el motivo?","Un pago puede ser rechazado por varias razones: fondos insuficientes, datos incorrectos o bloqueos de seguridad de tu banco. Te recomendamos contactar a tu entidad bancaria para más detalles."
"¿Ofrecen opciones de financiamiento o pago a cuotas?","Sí, ofrecemos opciones de pago a cuotas con tarjetas de crédito. El número de cuotas disponibles dependerá de tu banco. También puedes explorar las opciones con nuestro crédito NovaPay."
"¿Aceptan tarjetas de regalo o bonos de NovaMarket para compras online?","Sí, puedes redimir tus tarjetas de regalo o bonos de NovaMarket durante el proceso de pago online, ingresando el código correspondiente."
"ENVÍOS Y ENTREGAS"
"¿Cuánto tiempo tarda en llegar mi pedido?","El tiempo de entrega depende de tu ubicación y del producto que compraste. Podrás ver una fecha estimada de entrega durante el proceso de compra y hacerle seguimiento desde tu cuenta."
"¿Cuál es el costo del envío?","El costo del envío varía según el tamaño del producto y la dirección de entrega. El valor exacto será calculado y mostrado antes de que finalices tu compra."
"¿Cómo puedo hacer seguimiento a mi pedido?","Puedes rastrear tu pedido en tiempo real ingresando a ""Mis Pedidos"" en tu cuenta. Si tienes algún problema con la entrega, puedes consultarle a Novi, quien te dará el estado exacto de tu envío."
"¿Hacen envíos a todo el país?","Sí, tenemos cobertura de envío en la mayor parte del territorio nacional. Puedes verificar si llegamos a tu dirección exacta durante el proceso de compra."
"¿Qué pasa si no estoy en casa cuando llega mi pedido?","La transportadora realizará hasta dos intentos de entrega. Si no logra encontrarte, el producto será devuelto a nuestro centro de distribución y nos pondremos en contacto contigo para coordinar un nuevo envío."
"¿Puede otra persona recibir mi pedido?","Sí, una persona mayor de edad puede recibir el pedido en la dirección de entrega, presentando su documento de identidad."
"Mi pedido llegó incompleto o con un producto equivocado, ¿qué hago?","Contacta a Novi inmediatamente. Simplemente escribe ""Mi pedido llegó incompleto"". Novi verificará tu orden y te ofrecerá soluciones rápidas como el envío express del producto faltante o un cupón digital."
"El empaque de mi pedido llegó dañado, ¿debo recibirlo?","Te recomendamos revisar el contenido delante del transportador. Si el producto está dañado, no lo recibas y contacta a Novi de inmediato para reportar el caso y gestionar una solución."
"¿Ofrecen opción de ""Recoger en Tienda""?","Sí, para muchos de nuestros productos ofrecemos la opción de ""Compra y Recoge"". Puedes elegir la tienda NovaMarket que más te convenga para retirar tu pedido sin costo de envío."
"¿Cómo cambio la dirección de entrega de un pedido ya realizado?","Para solicitar un cambio de dirección, contacta a Novi lo más pronto posible. El cambio estará sujeto a que el pedido no haya sido despachado todavía."
"DEVOLUCIONES, CAMBIOS Y GARANTÍAS"
"¿Cuál es la política de devoluciones?","Aceptamos devoluciones de la mayoría de nuestros productos dentro de los primeros 5 días hábiles después de la entrega, siempre que el producto esté en perfectas condiciones, con sus empaques y accesorios originales."
"¿Cómo inicio un proceso de devolución o cambio?","La forma más fácil y rápida es a través de Novi. Inicia una conversación, explica que quieres devolver o cambiar un producto y Novi creará el caso y te guiará en los pasos a seguir."
"¿La devolución tiene algún costo?","No, las devoluciones por temas de calidad o error en el despacho son gratuitas. Si te retractas de la compra, el costo del envío de vuelta podría ser asumido por el cliente."
"¿Cuánto tiempo tarda el reembolso de mi dinero?","Una vez que recibamos y verifiquemos el producto devuelto, el proceso de reembolso tomará entre 5 y 15 días hábiles, dependiendo de tu método de pago."
"¿Cómo solicito la garantía de un producto?","Habla con Novi. Puedes incluso subir una foto del serial del producto. Novi iniciará la PQR de garantía y te proporcionará un número de caso para que puedas hacerle seguimiento visual y recibir actualizaciones."
"¿Qué cubre la garantía de los productos?","La garantía cubre defectos de fabricación y fallos de funcionamiento que no sean causados por mal uso. La duración de la garantía varía según el producto y el fabricante."
"Recibí mi reembolso, pero no es el monto completo, ¿por qué?","Esto puede ocurrir si se descontaron costos de envío o si el producto no cumplía con todas las condiciones de devolución. Para aclarar cualquier duda, consulta el detalle de tu caso con Novi."
"¿Puedo cambiar un producto comprado online en una tienda física?","Sí, puedes acercarte a cualquiera de nuestras tiendas NovaMarket con el producto y la factura para gestionar el cambio, sujeto a la disponibilidad de inventario."
"¿Qué productos no tienen cambio ni devolución?","Por razones de higiene y seguridad, productos de uso personal como ropa interior, productos de belleza abiertos y alimentos no tienen cambio ni devolución, a menos que presenten un defecto de fábrica."
"¿Cuánto tarda el proceso de revisión para una garantía?","El tiempo de diagnóstico y reparación bajo garantía depende del tipo de producto y del centro de servicio técnico. Con Novi, podrás seguir cada etapa del proceso en tiempo real para tu tranquilidad."
"SOBRE LOS PRODUCTOS"
"¿Qué tipo de productos venden en NovaMarket?","Ofrecemos una amplia gama de productos en categorías como tecnología, electrodomésticos, hogar, moda, mercado, deportes y mucho más."
"¿Cómo puedo saber más detalles o especificaciones de un producto?","En la página de cada producto encontrarás una sección de ""Descripción"" y ""Especificaciones Técnicas"" con toda la información detallada."
"¿Los productos son nuevos y originales?","Sí, todos los productos que vendemos en NovaMarket son 100% nuevos, originales y cuentan con la garantía oficial del fabricante."
"Un producto aparece como ""agotado"", ¿volverán a tenerlo?","Es probable. Puedes hacer clic en el botón ""Avísame cuando esté disponible"" en la página del producto y te enviaremos una notificación tan pronto como tengamos stock nuevamente."
"¿Cómo puedo comparar varios productos?","Utiliza nuestra herramienta de ""Comparar"". Añade los productos que te interesan y podrás ver sus características lado a lado para tomar la mejor decisión."
"¿Puedo leer opiniones de otros clientes sobre un producto?","Sí, en la página de cada producto hay una sección de reseñas y calificaciones donde otros compradores comparten su experiencia."
"¿Cómo sé qué talla elegir en ropa o calzado?","Junto a las opciones de talla, encontrarás una ""Guía de Tallas"" con medidas y recomendaciones para que elijas la correcta."
"¿Los productos electrónicos incluyen el cargador y accesorios?","Generalmente sí. En la sección de ""Contenido de la caja"" dentro de las especificaciones del producto, se detalla todo lo que incluye tu compra."
"¿Ofrecen servicios de instalación para electrodomésticos?","Sí, para productos como televisores grandes, nevecones o lavadoras, ofrecemos un servicio de instalación con costo adicional. Puedes agregarlo a tu carrito durante la compra."
"¿Cómo puedo filtrar productos por marca, precio o características?","En las páginas de categorías, utiliza los filtros ubicados en la parte izquierda para refinar tu búsqueda según tus preferencias."
"VENDEDORES MARKETPLACE"
"¿Qué significa que un producto es vendido por un ""Vendedor Marketplace""?","Significa que el producto es ofrecido y despachado directamente por un vendedor externo asociado a NovaMarket, quien utiliza nuestra plataforma para llegar a más clientes."
"¿Cómo identifico un producto de Marketplace?","En la página del producto, verás una indicación clara que dice ""Vendido y enviado por [Nombre del Vendedor]"". "
"¿La garantía es la misma para productos de Marketplace?","Sí, todos nuestros vendedores asociados están obligados a ofrecer la garantía legal correspondiente para sus productos. El proceso de reclamación lo puedes iniciar a través de Novi."
"¿Si tengo un problema con un producto de Marketplace, a quién contacto?","Debes contactarnos directamente a través de Novi. Nosotros nos encargaremos de gestionar tu PQR con el vendedor para darte una solución rápida y efectiva."
"¿Los tiempos de entrega son diferentes para productos Marketplace?","Es posible. Cada vendedor gestiona su propia logística, por lo que los tiempos de entrega pueden variar. Esta información será especificada durante tu proceso de compra."
"¿Puedo devolver un producto de Marketplace en una tienda NovaMarket?","Generalmente, las devoluciones de productos Marketplace deben gestionarse directamente a través de nuestra plataforma, iniciando el caso con Novi, para coordinar la recogida con el vendedor."
"¿Por qué el mismo producto tiene precios diferentes?","Esto puede ocurrir si el producto es ofrecido por NovaMarket y por uno o más vendedores de Marketplace a la vez. Puedes elegir la opción que más te convenga."
"¿NovaMarket responde por las compras hechas a vendedores de Marketplace?","Sí. Tu compra está protegida. Nosotros intermediamos en todo el proceso para garantizar que recibas tu producto y que cualquier problema sea resuelto satisfactoriamente."
"¿Cómo puedo ser un vendedor en el Marketplace de NovaMarket?","En nuestro sitio web, busca la sección ""Vende en NovaMarket"". Allí encontrarás toda la información y los requisitos para registrarte como vendedor."
"¿Puedo calificar a un vendedor de Marketplace?","Sí, después de recibir tu producto, te invitaremos a calificar tanto el producto como tu experiencia de compra con el vendedor."
"SEGURIDAD Y PRIVACIDAD"
"¿Es seguro comprar en novamarket.com?","Sí, es completamente seguro. Contamos con certificados de seguridad SSL que encriptan toda la información de tu compra para proteger tus datos personales y financieros."
"¿Qué hacen con mi información personal?","Utilizamos tu información únicamente para procesar tus pedidos, mejorar tu experiencia de compra y comunicarnos contigo sobre nuestras ofertas, siempre con tu consentimiento. Cumplimos con la Ley 1581 de Protección de Datos."
"¿Cómo sé que un correo electrónico es realmente de NovaMarket?","Nuestros correos oficiales siempre provendrán de dominios como @novamarket.com o @info.novamarket.com. Nunca te pediremos contraseñas o datos de tus tarjetas de crédito por correo."
"¿Cómo puedo reportar un correo o mensaje sospechoso?","Si recibes una comunicación que parece ser falsa, no hagas clic en ningún enlace ni compartas información. Contáctanos a través de Novi para reportarlo."
"¿La información que comparto con Novi es privada?","Sí. Las conversaciones con Novi son confidenciales y los datos se procesan en entornos seguros. La información se utiliza para resolver tu caso y para reentrenar al modelo de forma anonimizada para mejorar su precisión."
"¿Cómo puedo ejercer mis derechos de Habeas Data (conocer, actualizar, rectificar mis datos)?","Puedes gestionar la mayoría de tus datos desde tu perfil. Para solicitudes específicas de rectificación o eliminación, puedes radicar la solicitud a través de Novi en la sección de ayuda sobre datos personales."
"¿Mi contraseña se almacena de forma segura?","Sí, todas las contraseñas se almacenan de forma encriptada, lo que significa que nadie, ni siquiera nuestros empleados, tiene acceso a ella."
"¿Por qué necesitan mi número de teléfono?","Tu número de teléfono es importante para que la empresa transportadora pueda contactarte durante la entrega y para que podamos enviarte notificaciones importantes sobre tu pedido o PQR vía SMS o WhatsApp."
"¿Qué son las 'cookies' y para qué las usan?","Las cookies son pequeños archivos que nos ayudan a personalizar tu experiencia de navegación, recordar los productos de tu carrito y mostrarte publicidad relevante. Puedes gestionar tus preferencias de cookies en cualquier momento."
"¿Cómo puedo mantenerme seguro al comprar online?","Te recomendamos usar contraseñas fuertes y únicas, no compartir tus datos de acceso, verificar que la URL del sitio sea la correcta (novamarket.com) y desconfiar de ofertas demasiado buenas para ser verdad que lleguen por canales no oficiales."
